Date,state,tot_cases
2020-01-02,AK,0
2020-01-02,AL,0
2020-01-02,AR,0
2020-01-02,AS,0
2020-01-02,AZ,1
2020-01-02,CA,0
2020-01-02,CO,0
2020-01-02,CT,0
2020-01-02,DC,0
2020-01-02,DE,0
2020-01-02,FL,0
2020-01-02,FSM,0
2020-01-02,GA,0
2020-01-02,GU,0
2020-01-02,HI,0
2020-01-02,IA,0
2020-01-02,ID,0
2020-01-02,IL,2
2020-01-02,IN,0
2020-01-02,KS,0
2020-01-02,KY,0
2020-01-02,LA,0
2020-01-02,MA,1
2020-01-02,MD,0
2020-01-02,ME,0
2020-01-02,MI,0
2020-01-02,MN,0
2020-01-02,MO,0
2020-01-02,MP,0
2020-01-02,MS,0
2020-01-02,MT,0
2020-01-02,NC,0
2020-01-02,ND,0
2020-01-02,NE,0
2020-01-02,NH,0
2020-01-02,NJ,0
2020-01-02,NM,0
2020-01-02,NV,0
2020-01-02,NY,0
2020-01-02,NYC,0
2020-01-02,OH,0
2020-01-02,OK,0
2020-01-02,OR,0
2020-01-02,PA,0
2020-01-02,PR,0
2020-01-02,PW,0
2020-01-02,RI,0
2020-01-02,RMI,0
2020-01-02,SC,0
2020-01-02,SD,0
2020-01-02,TN,0
2020-01-02,TX,0
2020-01-02,UT,0
2020-01-02,VA,0
2020-01-02,VI,0
2020-01-02,VT,0
2020-01-02,WA,1
2020-01-02,WI,0
2020-01-02,WV,0
2020-01-02,WY,0
2020-01-03,AK,0
2020-01-03,AL,0
2020-01-03,AR,0
2020-01-03,AS,0
2020-01-03,AZ,1
2020-01-03,CA,34
2020-01-03,CO,0
2020-01-03,CT,0
2020-01-03,DC,0
2020-01-03,DE,0
2020-01-03,FL,0
2020-01-03,FSM,0
2020-01-03,GA,2
2020-01-03,GU,0
2020-01-03,HI,0
2020-01-03,IA,0
2020-01-03,ID,0
2020-01-03,IL,3
2020-01-03,IN,0
2020-01-03,KS,0
2020-01-03,KY,0
2020-01-03,LA,0
2020-01-03,MA,1
2020-01-03,MD,0
2020-01-03,ME,0
2020-01-03,MI,14
2020-01-03,MN,0
2020-01-03,MO,0
2020-01-03,MP,0
2020-01-03,MS,0
2020-01-03,MT,0
2020-01-03,NC,0
2020-01-03,ND,0
2020-01-03,NE,0
2020-01-03,NH,0
2020-01-03,NJ,0
2020-01-03,NM,0
2020-01-03,NV,0
2020-01-03,NY,0
2020-01-03,NYC,0
2020-01-03,OH,0
2020-01-03,OK,31
